120_90_accumulated_energy,355_90_accumulated_energy,590_90_accumulated_energy,0_295_accumulated_energy,240_295_accumulated_energy,470_295_accumulated_energy,700_295_accumulated_energy,120_500_accumulated_energy,355_500_accumulated_energy,590_500_accumulated_energy
708900.0,708900.0,496230.0,708900.0,708900.0,708900.0,708900.0,496230.0,708900.0,708900.0
709000.0,709000.0,496300.0,709000.0,709000.0,709000.0,709000.0,496300.0,709000.0,709000.0
709100.0,709100.0,496370.0,709100.0,709100.0,709100.0,709100.0,496370.0,709100.0,709100.0
709200.0,709200.0,496440.0,709200.0,709200.0,709200.0,709200.0,496440.0,709200.0,709200.0
709300.0,709300.0,496510.0,709300.0,709300.0,709300.0,709300.0,496510.0,709300.0,709300.0
709400.0,709400.0,496580.0,709400.0,709400.0,709400.0,709400.0,496580.0,709400.0,709400.0
709500.0,709500.0,496650.0,709500.0,709500.0,709500.0,709500.0,496650.0,709500.0,709500.0
709600.0,709600.0,496720.0,709600.0,709600.0,709600.0,709600.0,496720.0,709600.0,709600.0
709700.0,709700.0,496790.0,709700.0,709700.0,709700.0,709700.0,496790.0,709700.0,709700.0
709800.0,709800.0,496860.0,709800.0,709800.0,709800.0,709800.0,496860.0,709800.0,709800.0
709900.0,709900.0,496930.0,709900.0,709900.0,709900.0,709900.0,496930.0,709900.0,709900.0
710000.0,710000.0,497000.0,710000.0,710000.0,710000.0,710000.0,497000.0,710000.0,710000.0
710100.0,710100.0,497070.0,710100.0,710100.0,710100.0,710100.0,497070.0,710100.0,710100.0
710200.0,710200.0,497140.0,710200.0,710200.0,710200.0,710200.0,497140.0,710200.0,710200.0
710300.0,710300.0,497210.0,710300.0,710300.0,710300.0,710300.0,497210.0,710300.0,710300.0
710400.0,710400.0,497280.0,710400.0,710400.0,710400.0,710400.0,497280.0,710400.0,710400.0
710500.0,710500.0,497350.0,710500.0,710500.0,710500.0,710500.0,497350.0,710500.0,710500.0
710600.0,710600.0,497420.0,710600.0,710600.0,710600.0,710600.0,497420.0,710600.0,710600.0
710700.0,710700.0,497490.0,710700.0,710700.0,710700.0,710700.0,497490.0,710700.0,710700.0
710800.0,710800.0,497560.0,710800.0,710800.0,710800.0,710800.0,497560.0,710800.0,710800.0
710900.0,710900.0,497630.0,710900.0,710900.0,710900.0,710900.0,497630.0,710900.0,710900.0
711000.0,711000.0,497700.0,711000.0,711000.0,711000.0,711000.0,497700.0,711000.0,711000.0
711100.0,711100.0,497770.0,711100.0,711100.0,711100.0,711100.0,497770.0,711100.0,711100.0
711200.0,711200.0,497840.0,711200.0,711200.0,711200.0,711200.0,497840.0,711200.0,711200.0
711300.0,711300.0,497910.0,711300.0,711300.0,711300.0,711300.0,497910.0,711300.0,711300.0
711400.0,711400.0,497980.0,711400.0,711400.0,711400.0,711400.0,497980.0,711400.0,711400.0
711500.0,711500.0,498050.0,711500.0,711500.0,711500.0,711500.0,498050.0,711500.0,711500.0
711600.0,711600.0,498120.0,711600.0,711600.0,711600.0,711600.0,498120.0,711600.0,711600.0
711700.0,711700.0,498190.0,711700.0,711700.0,711700.0,711700.0,498190.0,711700.0,711700.0
711800.0,711800.0,498260.0,711800.0,711800.0,711800.0,711800.0,498260.0,711800.0,711800.0
711900.0,711900.0,498330.0,711900.0,711900.0,711900.0,711900.0,498330.0,711900.0,711900.0
712000.0,712000.0,498400.0,712000.0,712000.0,712000.0,712000.0,498400.0,712000.0,712000.0
712100.0,712100.0,498470.0,712100.0,712100.0,712100.0,712100.0,498470.0,712100.0,712100.0
712200.0,712200.0,498540.0,712200.0,712200.0,712200.0,712200.0,498540.0,712200.0,712200.0
712300.0,712300.0,498610.0,712300.0,712300.0,712300.0,712300.0,498610.0,712300.0,712300.0
712400.0,712400.0,498680.0,712400.0,712400.0,712400.0,712400.0,498680.0,712400.0,712400.0
712500.0,712500.0,498750.0,712500.0,712500.0,712500.0,712500.0,498750.0,712500.0,712500.0
712600.0,712600.0,498820.0,712600.0,712600.0,712600.0,712600.0,498820.0,712600.0,712600.0
712700.0,712700.0,498890.0,712700.0,712700.0,712700.0,712700.0,498890.0,712700.0,712700.0
712800.0,712800.0,498960.0,712800.0,712800.0,712800.0,712800.0,498960.0,712800.0,712800.0
712900.0,712900.0,499030.0,712900.0,712900.0,712900.0,712900.0,499030.0,712900.0,712900.0
713000.0,713000.0,499100.0,713000.0,713000.0,713000.0,713000.0,499100.0,713000.0,713000.0
713100.0,713100.0,499170.0,713100.0,713100.0,713100.0,713100.0,499170.0,713100.0,713100.0
713200.0,713200.0,499240.0,713200.0,713200.0,713200.0,713200.0,499240.0,713200.0,713200.0
713300.0,713300.0,499310.0,713300.0,713300.0,713300.0,713300.0,499310.0,713300.0,713300.0
